privateQuery,scrambledQuery,score
atypical squamous cells,GYNECOLOGY cervix smears,1
atypical squamous cells,cervix abnormal ASCUS smears Pap,1
atypical squamous cells,colposcopy Dysplasia Pap,1
atypical squamous cells,carcinoma pool smears,1
atypical squamous cells,welldifferentiated keratocanthoma,1
atypical squamous cells,health science report undetermined significance hpv vaccine pap smear statement evaluated fda cervical dysplasia human papilloma virus click summary website,1
atypical squamous cells,leep Smear,1
atypical squamous cells,cervix colposcopy Pap HPV,1
atypical squamous cells,A keratocanthoma keratinfilled,1
atypical squamous cells,cervix HPV,1
atypical squamous cells,colposcopy Dysplasia leep Pap,1
atypical squamous cells,atypia AGCUS,0
atypical squamous cells,cervix abnormal cervical AGUS,1
atypical squamous cells,Gupta intraepithelial smear,1
atypical squamous cells,health science report undetermined significance hpv vaccine,1
atypical squamous cells,Cervical Smear,1
atypical squamous cells,cervix abnormal ASCUS cervical Pap,1
atypical squamous cells,pap smear cervical dysplasia,1
atypical squamous cells,HPV cervacal,1
atypical squamous cells,undetermined significance pap smear hpv picture statement evaluated fda cervical dysplasia other topics click summary website,1
atypical squamous cells,undetermined significance hpv vaccine pap smear cervical dysplasia human papilloma virus click summary website,1
atypical squamous cells,cervix Smear cervical HPV,1
atypical squamous cells,undetermined significance pap smear hpv picture cervical dysplasia click summary website,1
atypical squamous cells,abnormal leep,1
atypical squamous cells,dysplasia cervix Smear Pap HPV,1
atypical squamous cells,undetermined significance hpv vaccine hpv picture cervical dysplasia,1
atypical squamous cells,undetermined significance pap smear click summary website,1
atypical squamous cells,endocervix Doderleins,1
atypical squamous cells,Condyloma condyloma,1
atypical squamous cells,Pap AGCUS,1
atypical squamous cells,BAD abnormality Grade,1
atypical squamous cells,click summary website other topics undetermined significance human papilloma virus,1
atypical squamous cells,undetermined significance hpv vaccine pap smear cervical dysplasia,1
atypical squamous cells,undetermined significance pap smear statement evaluated fda cervical dysplasia click summary website,1
atypical squamous cells,situ smear Supercrowded,1
atypical squamous cells,cervix colposcopy Dysplasia leep Cervical Pap,1
atypical squamous cells,health science report undetermined significance hpv picture statement evaluated fda cervical dysplasia click summary website,1
atypical squamous cells,Dysplasia Cervical Pap HPV,1
atypical squamous cells,cervical Smear,1
atypical squamous cells,cyanophilic,1
atypical squamous cells,Colposcopy atypia recommend,0
atypical squamous cells,cervix Cervical Pap HPV,1
atypical squamous cells,dyskeratocytosis,1
atypical squamous cells,colposcopy,1
atypical squamous cells,dysplasia cervix colposcopy cervical Pap HPV,1
atypical squamous cells,undetermined significance pap smear statement evaluated fda cervical dysplasia,1
atypical squamous cells,cervix abnormal AGUS,1
atypical squamous cells,The cervacal,1
atypical squamous cells,click summary website other topics undetermined significance hpv vaccine,1
atypical squamous cells,undetermined significance pap smear cervical dysplasia click summary website,1
atypical squamous cells,click summary website undetermined significance human papilloma virus,1
atypical squamous cells,Cervical pap,1
atypical squamous cells,possibel,1
atypical squamous cells,cervix smear,1
atypical squamous cells,dysplasia cervix Smear cervical HPV,1
atypical squamous cells,cervix abnormal ASCUS cervical AGUS smears Pap,1
atypical squamous cells,undetermined significance hpv vaccine pap smear hpv picture cervical dysplasia other topics human papilloma virus,1
atypical squamous cells,leep smear,1
atypical squamous cells,dysplasia Pap,1
atypical squamous cells,colposcopy atypia Dr,0
atypical squamous cells,Smear cervacal Pap,1
atypical squamous cells,dysplasia cervix cervical Pap HPV,1
atypical squamous cells,cervix Dysplasia,1
atypical squamous cells,colposcopy atypia AGUS,0
atypical squamous cells,ADENOCARCINOMA smear,1
atypical squamous cells,pap smear hpv picture cervical dysplasia,1
atypical squamous cells,cervix colposcopy pap,1
atypical squamous cells,metaplasias smears,1
atypical squamous cells,colposcopy leep Pap,1
atypical squamous cells,click summary website other topics undetermined significance,1
atypical squamous cells,colposcopy atypia American,0
atypical squamous cells,Cervical smear,1
atypical squamous cells,Dysplasia,1
atypical squamous cells,atypia ASCUS,0
atypical squamous cells,situ smear,1
atypical squamous cells,abnormal bad grades,1
atypical squamous cells,carcinoma OF smear,1
atypical squamous cells,ASCUS HGSIL,1
atypical squamous cells,health science report undetermined significance hpv vaccine pap smear statement evaluated fda cervical dysplasia other topics human papilloma virus click summary website,1
atypical squamous cells,A cervacal,1
atypical squamous cells,BAD Grade Pap,1
atypical squamous cells,click summary website other topics undetermined significance hpv picture,1
atypical squamous cells,dysplasia cervix colposcopy Smear,1
atypical squamous cells,Cervical cervix HPV,1
atypical squamous cells,cervical smear,1
atypical squamous cells,undetermined significance pap smear cervical dysplasia other topics,1
atypical squamous cells,hpv vaccine pap smear cervical dysplasia,1
atypical squamous cells,undetermined significance human papilloma virus hpv vaccine,1
atypical squamous cells,Adenocarcinoma Typically smear,1
atypical squamous cells,undetermined significance pap smear cervical dysplasia,1
atypical squamous cells,click summary website undetermined significance hpv picture,1
atypical squamous cells,carcinoma This smear,1
atypical squamous cells,dysplasia cervix cervical Pap,1
atypical squamous cells,The Sutejda,1
atypical squamous cells,health science report undetermined significance pap smear hpv picture cervical dysplasia human papilloma virus,1
atypical squamous cells,significance book Pap,1
atypical squamous cells,pap smear cervical dysplasia other topics,1
atypical squamous cells,health science report undetermined significance statement evaluated fda cervical dysplasia click summary website,1
atypical squamous cells,colposcopy atypia recommend,0
atypical squamous cells,health science report click summary website other topics undetermined significance,1
atypical squamous cells,health science report other topics undetermined significance hpv vaccine,1
atypical squamous cells,intraepithelial smear,1
atypical squamous cells,The A dysplesia,1
atypical squamous cells,endocervix ectocervix,1
atypical squamous cells,health science report undetermined significance human papilloma virus,1
atypical squamous cells,papillovirus precancerous,1
atypical squamous cells,carcinoma smears GYNECOLOGY,1
atypical squamous cells,keratoses,1
atypical squamous cells,parabasal,1
atypical squamous cells,dysplesia,1
atypical squamous cells,cervix abnormal ASCUS Pap,1
atypical squamous cells,cervix LEEP,1
atypical squamous cells,cervix abnormal ASCUS cervical smears Pap,1
atypical squamous cells,undetermined significance hpv vaccine pap smear cervical dysplasia other topics human papilloma virus click summary website,1
atypical squamous cells,Supercrowded,1
atypical squamous cells,Cervical Pap,1
atypical squamous cells,test leep,1
atypical squamous cells,health science report click summary website undetermined significance human papilloma virus,1
atypical squamous cells,undetermined significance hpv vaccine pap smear cervical dysplasia other topics human papilloma virus,1
atypical squamous cells,undetermined significance hpv vaccine pap smear statement evaluated fda cervical dysplasia other topics human papilloma virus,1
atypical squamous cells,Condyloma,1
atypical squamous cells,undetermined significance pap smear hpv picture cervical dysplasia,1
atypical squamous cells,undetermined significance hpv vaccine,1
atypical squamous cells,ENDOCERVIX,1
atypical squamous cells,situ atypia smear,0
atypical squamous cells,dyskeratocytes Cytohormonal,1
atypical squamous cells,hpv vaccine pap smear statement evaluated fda cervical dysplasia,1
atypical squamous cells,cervix abnormal cervical AGUS Pap,1
atypical squamous cells,BAD abnormality Lesions,1
atypical squamous cells,undetermined significance pap smear,1
atypical squamous cells,Cervical cervix,1
atypical squamous cells,colposcopy Dysplasia Smear Pap,1
atypical squamous cells,undetermined significance hpv vaccine pap smear cervical dysplasia other topics,1
atypical squamous cells,cervix colposcopy leep Cervical Pap,1
atypical squamous cells,cervical Pap,1
atypical squamous cells,cervix colposcopy pap HPV,1
atypical squamous cells,atypia smear,0
atypical squamous cells,pap smear statement evaluated fda cervical dysplasia,1
atypical squamous cells,cervical abnormal Pregnancy,1
atypical squamous cells,Dysplasia cervacal,1
atypical squamous cells,undetermined significance pap smear statement evaluated fda cervical dysplasia other topics click summary website,1
atypical squamous cells,cervix abnormal ASCUS cervical AGUS,1
atypical squamous cells,The situ smear,1
atypical squamous cells,cervix colposcopy Dysplasia Smear,1
atypical squamous cells,Colposcopy AGUS Dr,1
atypical squamous cells,undetermined significance hpv vaccine pap smear hpv picture cervical dysplasia human papilloma virus,1
atypical squamous cells,undetermined significance pap smear hpv picture cervical dysplasia human papilloma virus,1
atypical squamous cells,cervix abnormal ASCUS cervical AGUS Pap,1
atypical squamous cells,In Supercrowded,1
atypical squamous cells,cervix cervical,1
atypical squamous cells,typically carcinoma smears,1
atypical squamous cells,The carcinoma smear,1
atypical squamous cells,cervix carcinoma smears GYNECOLOGY,1
atypical squamous cells,cervix smear HPV,1
atypical squamous cells,colposcopy pap,1
atypical squamous cells,dysplasia,1
atypical squamous cells,colposcopy leep,1
atypical squamous cells,abnormal AGCUS,1
atypical squamous cells,smears cervix,1
atypical squamous cells,cervacal,1
